name,alcohol_%,avg_rating_%,country,description,distillery,img,n_votes,price,taste_box_fruits,taste_box_gravy,taste_box_qualitiy,taste_box_sherry_port_barrel,taste_box_smoke_torf,taste_box_sweet,taste_box_total,url,whisky_type
Aureum Taylor's Port (Deutschland) 2009/2016,47.0,4.3,Deutschland,Der bekannte Portwein von Taylor reift bis zu 20 Jahren in Eichenfässern heran. Die deutsche Brennerei Ziegler konnte zwei dieser begehrten Fässer für die Reifung ihres Single Malt erwerben.Limitiert auf 865 Flaschen!,Gebr. J. & M. Ziegler GmbH Hauptstr. 26 97896 Freudenberg/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_AUREU0TP0_1.jpg,3,8990,,,,,,,,https://www.whisky.de/shop/International/Aureum-Taylor-s-Port-Deutschland-2009-2016.html?&searchorigin=2,Single Malt Whisky
Suntory Hibiki Harmony Master's Select (Japan),43.0,3.7,Japan,Für den Travel Retail wurde der Harmony in einer limitierten Edition abgefüllt. Dabei wurde ein Schwerpunkt auf die Sherrynoten von Yamazaki gelegt. Die Geschmacksaromen unterscheiden sich so deutlich von der normalen Harmony Abfüllung.,Beam Suntory UK Ltd. Springburn Bond Carlisle Street Glasgow G21 1EQ/GB,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_SUNTOHIMS_1.jpg,6,7490,,,,,,,,https://www.whisky.de/shop/International/Suntory-Hibiki-Harmony-Master-s-Select-Japan.html?force_sid=ce30dcfe8e9c0c517f71acd315a46eae&&searchorigin=2,Blended Whisky
Glen Els Amarone Casks (Deutschland) 5J-2011/2017,50.8,4.0,Deutschland,Das Malz für diesen Whisky wurde mit leichtem Holzrauch getrocknet. Der Whisky reifte in italienischen Amarone Fässern.Limitiert auf 777 Flaschen!,Hammerschmiede Spirituosen Karl-Theodor Buchholz Elsbach 11a 37449 Zorge/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_GELS00FA0_1.jpg,1,7990,,,,,,,,https://www.whisky.de/shop/International/Glen-Els-Amarone-Casks-Deutschland-5J-2011-2017.html?force_sid=cedff3485b3ee94fdaa04194213588d9&&searchorigin=2,Single Malt Whisky
Kavalan Solist Vinho (Taiwan),57.1,,Taiwan,"In der Solist-Serie werden Einzelfässer abgefüllt. Jede Abfüllung ist mit Seriennummer, Fassart und Unterschrift des Master Blenders versehen.Die Weinfässer für die Abfüllung Vinho werden ausgekratzt und getoastet. Bevor sie für die Whiskyreifung verwendet werden erhalten Sie noch eine 2-jährige Ablagerungszeit.Die Fassnummer kann von der im Foto abgebildeten Nummer abweichen!",King Car Germany GmbH Corneliusstr. 18 40215 Düsseldorf/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_KAVALSOVI_1.jpg,,16800,,,,,,,,https://www.whisky.de/shop/International/Kavalan-Solist-Vinho-Taiwan.html?force_sid=5674e7dfd959fb7b3a73a05b200a2381&&searchorigin=2,Single Malt Whisky
Kavalan Solist Fino Sherry (Taiwan),56.3,2.0,Taiwan,"In der Solist-Serie werden Einzelfässer abgefüllt. Jede Abfüllung ist mit Seriennummer, Fassart und Unterschrift des Master Blenders versehen.Fino Sherry ist der krönende Abschluss der Serie. In der Whisky Bible wurde er 2012 zum World Whisky of the Year gewählt. 2013 erhielt er von Jim Murray 97 Punkte.Die Fassnummer kann von der im Foto abgebildeten Nummer abweichen!",King Car Germany GmbH Corneliusstr. 18 40215 Düsseldorf/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_KAVALSOF2_1.jpg,1,24700,,,,,,,,https://www.whisky.de/shop/International/Kavalan-Solist-Fino-Sherry-Taiwan.html?force_sid=5674e7dfd959fb7b3a73a05b200a2381&&searchorigin=2,Single Malt Whisky
Glen Els Casino Impair (Deutschland) 4J-/2016,45.9,4.5,Deutschland,Für die Casino-Abfüllung Impair der Brennerei Hammerschmiede wurden mehrere Moscatel Fässer aus den Jahren 2008 bis 2011 ausgewählt. Der Malt selbst wurde aus 90% nichtrauchigem und 10% rauchigem Malz destilliert.Limitiert auf 1.000 Flaschen!,Hammerschmiede Spirituosen Karl-Theodor Buchholz Elsbach 11a 37449 Zorge/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_GELS00CI0_1.jpg,2,6990,,,,,,,,https://www.whisky.de/shop/International/Glen-Els-Casino-Impair-Deutschland-4J-2016.html?force_sid=cedff3485b3ee94fdaa04194213588d9&&searchorigin=2,Single Malt Whisky
Pfanner Single Barrel (Österreich) 2011/2015,56.5,,Österreich,Die Reifung in einem frischen Sherryfass ließen mit der Zeit wunderbar würzige und schwere Aromen entstehen. Der Whisky wurde anschließend als Einzelfass abgefüllt.Limitiert auf 495 Flaschen!,Privatdestillerie Hermann Pfanner Alte Landstr. 10 6923 Lauterach/AT,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_PFANN0SB0_1.jpg,,5490,,,,,,,,https://www.whisky.de/shop/International/Pfanner-Single-Barrel-Oesterreich-2011-2015.html?force_sid=2685cbe8ddae854513faf2e7c91fa935&&searchorigin=2,Single Malt Whisky
Langatun Old Bear Smoky (Schweiz) 6J-2011/2017,58.5,,Schweiz,Der Old Bear Smoky wurde mit rauchigem Gerstenmalz destilliert und in einem Weinfass gereift. Neben dieser Abfüllung in Fassstärke ist der Single Malt auch in Trinkstärke erhältlich.,Whiskymax Import Industriestr. 18 63533 Mainhausen/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_LANGABEC3_1.jpg,,5190,,,,,,,,https://www.whisky.de/shop/International/Langatun-Old-Bear-Smoky-Schweiz-2011-2017.html?force_sid=5674e7dfd959fb7b3a73a05b200a2381&&searchorigin=2,Single Malt Whisky
Sikkim Old Gold (Indien),40.0,2.1,Indien,Dieser Single Malt Whisky stammt aus dem indischen Himalaya. Schon das Etikett ist Bollywood pur! Indien gehört neben Schottland und der USA zu den größten Whiskyproduzenten der Welt.,Himalaya's Dreams e.K. Weberstr. 38 94513 Schönberg/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_SIKKIMGOLDO_1.jpg,11,1790,54,41,38,3,1,43,41,https://www.whisky.de/shop/International/Sikkim-Old-Gold-Indien--.html?force_sid=aacdd1c148b524c7f2bdd4dcecd84235&&searchorigin=2,Single Malt Whisky
St. Kilian White Dog (Deutschland),43.0,,Deutschland,Die St. Kilian Brennererei wurde nach schottischem Vorbild erbaut und ist seit 2016 in Betrieb. Gebrannt wird auf 6000 L Kupferbrennblasen der Firma Forsyths. Die heimische Gerste wird in der hauseigenen Mühle geschrotet und anschließend gemaischt. St. Kilian verwendet aber aber auch Rauchmalz aus Schottland.Der White Dog wird aus deutschem Braumalz destilliert.,St. Kilian Distillers GmbH Hauptstr. 1-5 63924 Rüdenau/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_STKIWHDO0_1.jpg,,2490,,,,,,,,https://www.whisky.de/shop/International/St-Kilian-White-Dog-Deutschland.html?force_sid=aacdd1c148b524c7f2bdd4dcecd84235&&searchorigin=2,Destillat (Spirit)
Crown Royal XR (Kanada),40.0,3.0,Kanada,"Für diesen besonderen Blend von Crown Royal verwendet man die letzten Fässer, die in der alten LaSalle Brennerei destilliert wurden. Die Brennerei war in Montreal ansässig und produzierte einen Whisky mit vollem und weichem Charakter.",Diageo Germany GmbH Reeperbahn 1 20359 Hamburg/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_CROWNROXR_1.jpg,1,10850,,,,,,,,https://www.whisky.de/shop/International/Crown-Royal-XR-Kanada.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Blended Whisky
Armorik Lightly Peated for Germany (Frankreich),48.0,,Frankreich,Der Lightly Peated wurde exklusiv für Deutschland und als Small Batch abgefüllt. Dafür wurde die Abfüllung Classic und ein rauchiger Armorik mit 45 ppm verwendet.Limitiert auf 800 Flaschen!,Distillerie Warenghem Route de Guingamp 22300 Lannion/FR,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_ARMOR0LP0_1.jpg,,5190,,,,,,,,https://www.whisky.de/shop/International/Armorik-Lightly-Peated-for-Germany-Frankreich.html?&searchorigin=2&force_sid=7c419356230d5392c7ce55d948dde931,Single Malt Whisky
Mackmyra Moment Jakt (Schweden),48.1,,Schweden,Die Jagdsaison für Mackmyra Fans ist eröffnet: Der Moment Jakt wurde in mit Jaktvin gesättigten Fässern nachgereift. Der schwedische Wein Jaktvin wird aus Preisel- und Heidelbeeren hergestellt.,Mackmyra Svensk Whisky AB Kolonnvägen 2 80267 Gävle/SE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_MACKM0MOJ_1.jpg,,12850,,,,,,,,https://www.whisky.de/shop/International/Mackmyra-Moment-Jakt-Schweden.html?force_sid=3166103bcd9e375296ece54e3f7c5213&&searchorigin=2,Single Malt Whisky
Baltach Oloroso Finish (Deutschland) /2017,43.0,,Deutschland,"Das Destillat von Baltach ähnelt dem Wismarer Starkbier Mumme, ist aber ohne Hopfen gebrannt. Neben dem üblichen Gerstenmalz wird für den Single Malt auch Röstmalz und Caramelmalz verwendet.Limitiert auf 875 Flaschen!",Hinricus Noyte's Spirituosen GmbH Wismar Kleine Hohe Str. 15 23966 Wismar/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_BALTA1700_1.jpg,,5890,,,,,,,,https://www.whisky.de/shop/International/Baltach-Oloroso-Finish-Deutschland-2017.html?&searchorigin=2&force_sid=7c419356230d5392c7ce55d948dde931,Single Malt Whisky
Nomad (Spanien),41.3,3.5,Spanien,"Richard Paterson stellte Nomad aus mehreren 5- bis 9-jährigen schottischen Single Malts und einem kleinen Teil Grain Whiskys zusammen. Anschließend wurde der Whisky für ein Jahr in Sherryfässern miteinander verheiratet. Zum Ende wurde mit den üblichen Whisky-Konventionen gebrochen: der Blend wurde nach Spanien transportiert, um noch ein Jahr in 30-jährigen PX Sherryfässern zu reifen. So benannte der Hersteller, der Sherryproduzent Gonzalez Byass, den Blend auch als neuartige Whiskyart 'Outland Whisky'.",Gonzalez Byass S.A. Manuel Maria Gonzalez 12 11403 Jerez de la Frontera Cadiz/ES,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_NOMAD0000_1.jpg,6,3690,,,,,,,,https://www.whisky.de/shop/International/Nomad-Spanien.html?force_sid=2685cbe8ddae854513faf2e7c91fa935&&searchorigin=2,Blended Whisky
Stonewood Woaz (Deutschland) 5 Jahre,43.0,2.3,Deutschland,"Seit 1818 werden am Fuße des Naturparks Steinwald Brände aus Obst und Getreide hergestellt. Im 19. Jahrhundert noch als experimentelle Abwandlung des Kornbrands wurde der Whisky in den 50er Jahren unter verschiedenen Namen vermarktet. Damit ist Schraml wohl die erste Brennerei Deutschlands, in der Whisky hergestellt wurde.Woaz, bayerisch für Weizen, ist ein Whisky aus Weizen- und Gerstenmalz. Der Whisky wurde erstmals 2008 gebrannt und wurde seitdem unter anderem bei den World Spirits Awards ausgezeichnet.",Steinwälder Hausbrennerei Schraml Pfarrgasse 22 92681 Erbendorf/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_STONE05WO_1.jpg,6,6790,,,,,,,,https://www.whisky.de/shop/International/Stonewood-Woaz-Deutschland-5-Jahre.html?force_sid=ce30dcfe8e9c0c517f71acd315a46eae&&searchorigin=2,Weizen Whisky
Togouchi (Japan) 12 Jahre,40.0,2.0,Japan,Die Destillerie Chugoku Jozo benutzt zur Reifung ihrer Blends einen stillgelegten Eisenbahntunnel. Hier können die Eichenfässer bei konstanter Temperatur und Luftfeuchtigkeit bis zu ihrer Vollendung lagern.Der 12-jährige Blend wurde aus 40% schottischen Malt und 60% kanadischen Grain Whisky hergestellt.,Bremer Spirituosen Contor GmbH Gisela-Müller-Wolff-Str.7 28197 Bremen/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_TOGOU1200_1.jpg,2,6990,,,,,,,,https://www.whisky.de/shop/International/Togouchi-Japan-12-Jahre.html?force_sid=ce30dcfe8e9c0c517f71acd315a46eae&&searchorigin=2,Blended Whisky
"Glen Els The Wayfare 0,35 Liter (Deutschland)",61.1,,Deutschland,"Wayfare gehört seit 2014 zum Standardsortiment der Brennerei. Für die Abfüllung in Fassstärke werden 3,5- bis 6,5-jährige Single Malts verwendet. Hinweis: Wegen der Fassstärke und dem Verzicht auf Filtration kann der Malt Eintrübungen oder Schwebeteilchen in der Flasche enthalten.",Hammerschmiede Spirituosen Karl-Theodor Buchholz Elsbach 11a 37449 Zorge/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_GELS00WF3_1.jpg,,3890,,,,,,,,https://www.whisky.de/shop/International/Glen-Els-The-Wayfare-0-35-Liter-Deutschland.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Single Malt Whisky
Teerenpeli Rasi (Finnland),43.0,,Finnland,Zuerst wurde der Whisky für die Abfüllung Rasi rund 6 bis 8 Jahre in Bourbonfässern gereift. Das anschließende Finish erfolgte in Moscatel-Fässern.Limitiert auf 2.554 Flaschen!,Teerenpeli Distillery Rautatienkatu 13 15110 Lahti/FI,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_TEERERASI_1.jpg,,7190,,,,,,,,https://www.whisky.de/shop/International/Teerenpeli-Rasi-Finnland.html?force_sid=ce30dcfe8e9c0c517f71acd315a46eae&&searchorigin=2,Single Malt Whisky
Kavalan Concertmaster Port Cask (Taiwan),40.0,3.4,Taiwan,Für ihre Malts verwendet die erste Whiskybrennerei Taiwans Quellwasser aus den nahegelegenen Schneebergen.Concertmaster ist die Weiterentwicklung des Einstiegsmalts von Kavalan. Im Gegensatz zu dieser Abfüllung erhielt Concertmaster noch ein 6-monatiges Finish in Portweinfässern.,King Car Germany GmbH Corneliusstr. 18 40215 Düsseldorf/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_KAVALCONC_1.jpg,12,4990,,,,,,,,https://www.whisky.de/shop/International/Kavalan-Concertmaster-Port-Cask-Taiwan.html?force_sid=cedff3485b3ee94fdaa04194213588d9&&searchorigin=2,Single Malt Whisky
Belgian Owl (Belgien) 3 Jahre,46.0,3.8,Belgien,Die Owl Brennerei ist schon seit 2004 aktiv. Vor einigen Jahren konnte sie ein Paar der alten Brennblasen von Caperdonich erwerben. Dieser Single Malt wurde schon komplett auf der schottischen Ausrüstung gebrannt.,The Owl Distillery S.A. Hameau de Goreux 7 4347 Fexhe-le Haut-Clocher/BE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_BELOW0300_1.jpg,4,5490,,,,,,,,https://www.whisky.de/shop/International/Belgian-Owl-Belgien.html?&searchorigin=2,Single Malt Whisky
Amrut Fusion (Indien),50.0,3.6,Indien,"Die indische Mythologie berichtet von Göttern und Dämonen, die in der Vorzeit den Ozean mit Hilfe der Berge durchmischten. Auf einmal sprang ein goldener Topf aus dem Wasser, der das Elexier des Lebens enthielt. Diesen nannten sie Amrut. Der moderne Amrut hat seine Wurzeln unmittelbar nach Ende der englischen Kolonialherrschaft 1948, als die Inder begannen, ihren eigenen Whisky zu brennen. Dieser Amrut verdankt seinen Namen 'Fusion' der Tatsache, dass für diesen Whisky sowohl indische als auch schottische Gerste verwendet wurde.",Amrut Distilleries Ltd. The Grainger Suite  Regent Center Dobson House New Castle Upon Tyne NE3 3PF/GB,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_AMRUT00FU_1.jpg,46,4190,49,70,74,16,28,45,69,https://www.whisky.de/shop/International/Amrut-Fusion-Indien.html?&searchorigin=2&force_sid=7c419356230d5392c7ce55d948dde931,Single Malt Whisky
Crown Royal (Kanada),40.0,2.7,Kanada,"Der Crown Royal ist Kanadas Aushängeschild, wenn es um Premium Whisky geht. Er wurde 1939 zu Ehren des Besuchs des britischen Königs Georg VI. kreiert. Er entsteht aus 50 verschiedenen Whiskys, die aufwändig gemischt werden.",Diageo Germany GmbH Reeperbahn 1 20359 Hamburg/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_CROWNRO07_1.jpg,36,1790,56,52,65,20,3,30,51,https://www.whisky.de/shop/International/Crown-Royal-Kanada---2.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Blended Whisky
Bosch Schwäbischer Whisky vom Alb-Dinkel (Deutschland) 4 Jahre,40.0,1.8,Deutschland,Für diesen Whisky wurde der Sommerduft eines Dinkelfeldes eingefangen. Die lange Lagerung im Fass und das feine Destillat... ein Erlebnis! Dieser Whisky wird mit viel Aufwand und Herzblut in einer kleinen Brennerei im Lenninger Tal direkt am Fuße der Schwäbischen Alb hergestellt.,Bosch Edelbrand Kirchheimer Str. 43 73252 Lenningen-Unterlenningen/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_BOSCH0000_1.jpg,4,3190,41,38,44,4,3,48,40,https://www.whisky.de/shop/International/Bosch-Schwaebischer-Whisky-vom-Alb-Dinkel-Deutschland-4-Jahre.html?&searchorigin=2&force_sid=7c419356230d5392c7ce55d948dde931,Dinkel Whisky
Flóki Young Malt Cask Strength (Island),60.0,,Island,Flóki wird gänzlich aus isländischer Gerste und in sorgfältiger Handarbeit hergestellt. Dieser Einzelfass wurde fassstark und exklusiv für den deutschen Importeur abgefüllt.Limitiert auf 240 Flaschen!,Kirsch Whisky Import Schnepker Str. 32 28857 Syke/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_FLOKI0CS0_1.jpg,,6190,,,,,,,,https://www.whisky.de/shop/International/Fl-ki-Young-Malt-Cask-Strength-Island.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Destillat (Spirit)
Slyrs Fassstärke (Deutschland) 2011/2015,56.4,2.5,Deutschland,Seit 2013 bietet die Brennerei Slyrs ihren Single Malt Whisky auch in Fassstärke an. Fass 11/1116 wurde exklusiv für The Whisky Store abgefüllt.,Slyrs Destillerie GmbH & Co. KG Bayrischzeller Straße 13 83727 Schliersee/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_SLYRS00CA_1.jpg,2,7690,,,,,,,,https://www.whisky.de/shop/International/Slyrs-Fassstaerke-Deutschland-2011-2015.html?force_sid=aacdd1c148b524c7f2bdd4dcecd84235&&searchorigin=2,Single Malt Whisky
Canadian Club Small Batch (Kanada) 12 Jahre,40.0,3.3,Kanada,Der Canadian Club wird aus Maiswhisky und einer Mischung aus gemälzter Gerste und Roggen hergestellt. Dabei hat jede Abfüllung der Brennerei ihre eigene Rezeptur. Anschließend wird der Blend in Bourbon Barrels bis zu seiner Vollendung gereift.,Beam Suntory UK Ltd. Springburn Bond Carlisle Street Glasgow G21 1EQ/GB,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_CANCL1200_1.jpg,12,2290,57,51,65,19,12,53,57,https://www.whisky.de/shop/International/Canadian-Club-Small-Batch-Kanada-12-Jahre.html?&searchorigin=2&force_sid=7c419356230d5392c7ce55d948dde931,Blended Whisky
Tokinoka (Japan),40.0,3.0,Japan,"Der Blend Tokinoka wird von der japanischen Brennerei White Oak abgefüllt. Der Whisky wird in kleinen Pot Stills gebrannt, die in Japan hergestellt wurden.",Whiskymax Import Industriestr. 18 63533 Mainhausen/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_TOKIN0000_1.jpg,1,2790,,,,,,,,https://www.whisky.de/shop/International/Tokinoka-Japan.html?force_sid=ce30dcfe8e9c0c517f71acd315a46eae&&searchorigin=2,Blended Whisky
Mackmyra Svensk Rök - Amerikansk Ek (Schweden),46.1,,Schweden,Für die limitierte Edition Amerikansk Ek wurde der rauchige Single Malt von Mackmyra in neuen 200 Liter Fässern gereift.Silbermedaille C2C Spirits Cup 2017,Mackmyra Svensk Whisky AB Kolonnvägen 2 80267 Gävle/SE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_MACKM00SA_1.jpg,,8990,,,,,,,,https://www.whisky.de/shop/International/Mackmyra-Svensk-Roek-Amerikansk-Ek-Schweden.html?force_sid=3166103bcd9e375296ece54e3f7c5213&&searchorigin=2,Single Malt Whisky
Penderyn Sortiment (Wales),41.0,,Wales,"Nicht nur im schottischen Teil von Großbritannien wird guter Whisky gebrannt. Die in Wales ansässige Penderyn Brennerei zeigt seit 2004 ihr Können in der Single Malt Produktion.Sortiment mit je 1 Flasche a 0,2 Liter:Penderyn Myth 41% volPenderyn Legend 41% volPenderyn Celt 41% vol",Welsh Whisky Company Penderyn Distillery Pontpren Penderyn CF44 0SX/GB,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_SORTPENDE_1.jpg,,3990,,,,,,,,https://www.whisky.de/shop/International/Penderyn-Sortiment-Wales.html?force_sid=aacdd1c148b524c7f2bdd4dcecd84235&&searchorigin=2,Single Malt Whisky
Paul John Peated (Indien),55.5,4.0,Indien,Das heiße indische Klima lässt Whisky intensiver und schneller reifen. Die kleine Brennerei Paul John hat sich seit 1992 in der Urlaubsregion Goa angesiedelt. Der rauchige Charakter von Peated kommt durch die Fassstärke noch besser zur Geltung. Die Lagerung erfolgte in Bourbonfässern.,Bremer Spirituosen Contor GmbH Gisela-Müller-Wolff-Str.7 28197 Bremen/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_PJOHN0PE0_1.jpg,2,5790,,,,,,,,https://www.whisky.de/shop/International/Paul-John-Peated-Indien.html?force_sid=2685cbe8ddae854513faf2e7c91fa935&&searchorigin=2,Single Malt Whisky
Glen Els The Journey (Deutschland) /2017,43.0,3.6,Deutschland,Diese Abfüllung wurde zu 95% aus nichtrauchigem und 5% rauchigem Malz destilliert. Dabei brennt die Brennerei Hammerschmiede ihren Whisky noch auf traditionelle Art 2-fach über einer holzbefeuerten Pot Still. Die Reifung erfolgte in europäischen Weinfässern.,Hammerschmiede Spirituosen Karl-Theodor Buchholz Elsbach 11a 37449 Zorge/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_GELS00JO0_1.jpg,43,4990,,,,,,,,https://www.whisky.de/shop/International/Glen-Els-The-Journey-Deutschland.html?force_sid=cedff3485b3ee94fdaa04194213588d9&&searchorigin=2,Single Malt Whisky
Flóki Young Malt (Island),47.0,3.3,Island,"Das kleine Island hat sich durch die Europameisterschaft in die Herzen der Fans gekickt. Zeit, das Gleiche bei Whiskygenießern zu machen: Die familiengeführte Brennerei Eimverk wurde 2011 gegründet. Durch die harten klimatischen Bedingungen gibt es in Island nur wenig Gerste. Trotzdem wird der einjährige Flóki zu 100% aus isländischer Gerste und in sorgfältiger Handarbeit hergestellt. Dabei wird für jedes Batch die Gerste eines einzelnen Bauern verwendet. Mit diesem Destillat erhalten Sie schon einen guten Eindruck, wie der Whisky der jungen Brennerei einmal schmecken wird.",Kirsch Whisky Import Schnepker Str. 32 28857 Syke/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_FLOKI0000_1.jpg,4,5490,58,63,74,24,1,33,70,https://www.whisky.de/shop/International/Fl-ki-Young-Malt-Island-2016.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Destillat (Spirit)
J.B.G. Münsterländer (Deutschland) 2011/2016,43.0,3.0,Deutschland,"Für diese besondere Abfüllung kombinierte Geuting verschiedene Whiskyfässer. Fass 40 beinhaltete Single Malt, Fass 49 einen Single Grain der deutschen Brennerei. Im letzten Fass 50 reiften Single Grain und Single Malt Whisky gemeinsam heran. Nach 4 Jahren wurden die 3 Fässer abgefüllt.Limitiert auf 1.142 Flaschen! ",Gutsbrennerei Joh. B. Geuting e.K. Brennereiweg 8 46399 Bocholt/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_MUENS16GG_1.jpg,1,3790,,,,,,,,https://www.whisky.de/shop/International/J-B-G-Muensterlaender-Deutschland-inkl-gratis-Glas-2011-2016.html?force_sid=3166103bcd9e375296ece54e3f7c5213&&searchorigin=2,Whisky
Brexit (Österreich),43.3,3.3,Österreich,"Mit Brexit entfernt sich die österreichische Brennerei Gölles ganz bewusst von den britischen Vorbildern. Für die Mashbill wurde Mais, Roggen, Gerste, Weizen und Dinkel verwendet. In Pot Stills gebrannt wurde der Whiskey zwischen 4 und 13 Jahre lang gereift.Batch 2 ist limitiert auf 989 Flaschen!",Manufaktur Gölles Stang 52 8333 Riegersburg/AT,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_BREXI0000_1.jpg,4,4490,,,,,,,,https://www.whisky.de/shop/International/Brexit-Oesterreich.html?&searchorigin=2&force_sid=7c419356230d5392c7ce55d948dde931,Whiskey
Brexit (Österreich),43.3,3.3,Österreich,"Mit Brexit entfernt sich die österreichische Brennerei Gölles ganz bewusst von den britischen Vorbildern. Für die Mashbill wurde Mais, Roggen, Gerste, Weizen und Dinkel verwendet. In Pot Stills gebrannt wurde der Whiskey zwischen 4 und 13 Jahre lang gereift.Batch 2 ist limitiert auf 989 Flaschen!",Manufaktur Gölles Stang 52 8333 Riegersburg/AT,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_BREXI0000_1.jpg,4,4490,,,,,,,,https://www.whisky.de/shop/International/Brexit-Oesterreich.html?&searchorigin=2,Whiskey
Mackmyra Special 07 Moltebeeren-Finish (Schweden) /2011,45.8,3.3,Schweden,Die Special Reihe war der Vorgänger zu den saisonal erscheinenden Limited Editions von Mackmyra. Bei Special 07 wurde mit verschiedenen Fasstypen experimentiert. Zuerst reifte der Malt in verschiedenen Fassgrößen zwischen 30 und 200 Litern. Für das anschließende Finish wurden Fässer mit Moltebeerenwein gesättigt.,Mackmyra Svensk Whisky AB Kolonnvägen 2 80267 Gävle/SE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_MACKMSP07_1.jpg,4,3990,,,,,,,,https://www.whisky.de/shop/International/Mackmyra-Special-07-Schweden-2011.html?force_sid=5674e7dfd959fb7b3a73a05b200a2381&&searchorigin=2,Single Malt Whisky
Millstone Peated (Niederlande) 5J-2008/2014,40.0,3.5,Niederlande,"Die Brennerei Zuidam wurde 1975 von Fred van Zuidam gegründet. Da die gemälzte Gerste für diesen Whisky wie früher üblich mit Windmühlen gemahlen wird, wurde der Single Malt Mühlstein getauft. Er wird in kupfernen Pot Stills zweifach destilliert. Diese Abfüllung ist leicht rauchig.Nummerierte Flaschen.",Zuidam Distillers Smederijstraat 5 5111 PT Baarle Nassau/NL,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_MILLS08PE_1.jpg,2,4690,,,,,,,,https://www.whisky.de/shop/International/Millstone-Peated-Niederlande-5J-2008-2014.html?force_sid=3166103bcd9e375296ece54e3f7c5213&&searchorigin=2,Single Malt Whisky
Armorik Double Matured (Frankreich),46.0,2.8,Frankreich,"Die Brennerei Warenghem verwendet oft bretonische Eichenfässer für die Lagerung ihres Whiskys. Für jede bretonische Eiche, die für ein Fass gefällt wird, lässt Warenghem jedoch 2 neue Bäume pflanzen.Der Double Matured ist eine Kombination aus bretonischen Eichenfässern und Sherryfässern.",Distillerie Warenghem Route de Guingamp 22300 Lannion/FR,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_ARMOR00DO_1.jpg,17,3590,51,63,67,60,2,48,58,https://www.whisky.de/shop/International/Armorik-Double-Matured-Frankreich.html?&searchorigin=2,Single Malt Whisky
